date,lesson,views,name
2020/07/30 21:55:41,2-10,3286,Image Data
2020/07/30 21:55:41,2-11,3253,The Whole Pipeline
2020/07/30 21:55:41,2-12,3285,Two Perspectives on ML
2020/07/30 21:55:41,2-13,3150,The Computer Science Perspective
2020/07/30 21:55:41,2-14,3002,The Statistical Perspective
2020/07/30 21:55:41,2-15,3198,The Tools for Machine Learning
2020/07/30 21:55:41,2-16,2996,Libraries for Machine Learning
2020/07/30 21:55:41,2-17,3374,Cloud Services for Machine Learning
2020/07/30 21:55:41,2-18,3095,A Brief Intro to Azure Machine Learning
2020/07/30 21:55:41,2-19,2982,Models vs. Algorithms
2020/07/30 21:55:41,2-20,3173,Linear Regression
2020/07/30 21:55:41,2-21,3542,Walkthrough: Train a Linear Regression Model
2020/07/30 21:55:41,2-22,2536,Learning a function
2020/07/30 21:55:41,2-23,2687,Parametric vs. Non-parametric
2020/07/30 21:55:41,2-24,2537,Classical ML vs. Deep Learning
2020/07/30 21:55:41,2-25,2663,Approaches to Machine Learning
2020/07/30 21:55:41,2-26,2618,The Trade-Offs
2020/07/30 21:55:41,2-27,2393,Overfitting vs. Underfitting
2020/07/30 21:55:41,2-28,2369,Bias vs. Variance Trade-off
2020/07/30 21:55:41,2-29,2484,Lesson Summary
2020/07/30 21:55:41,3-0,2779,Lesson Overview
2020/07/30 21:55:41,3-1,2637,Data Import and Transformation
2020/07/30 21:55:41,3-2,2602,"Lab: Import, Transform, and Export Data"
2020/07/30 21:55:41,3-3,2402,Managing Data
2020/07/30 21:55:41,3-4,2051,Datastores vs. Datasets
2020/07/30 21:55:41,3-5,2100,The Data Access Workflow
2020/07/30 21:55:41,3-6,2105,More About Datasets
2020/07/30 21:55:41,3-7,1824,More About Datasets (2)
2020/07/30 21:55:41,3-8,1925,Lab: Create and Version a Dataset
2020/07/30 21:55:41,3-9,1842,Introducing Features
2020/07/30 21:55:41,3-10,2068,Feature Engineering
2020/07/30 21:55:41,3-11,1852,Examples of Feature Engineering Tasks
2020/07/30 21:55:41,3-12,1788,Summary of Feature Engineering Approaches by Data Type
2020/07/30 21:55:41,3-13,1905,Feature Selection
2020/07/30 21:55:41,3-14,1806,Feature Selection (2)
2020/07/30 21:55:41,3-15,1877,Walkthrough: Engineer and Select Features
2020/07/30 21:55:41,3-16,1516,Walkthrough: Engineer and Select Features (2)
2020/07/30 21:55:41,3-17,1866,Data Drift
2020/07/30 21:55:41,3-18,1732,Monitoring for Data Drift
2020/07/30 21:55:41,3-19,1717,Model Training Basics
2020/07/30 21:55:41,3-20,1813,Model Training in Azure Machine Learning
2020/07/30 21:55:41,3-21,1731,Taxonomy of Azure Machine Learning
2020/07/30 21:55:41,3-22,1646,Training Classifiers
2020/07/30 21:55:41,3-23,1565,Training Regressors
2020/07/30 21:55:41,3-24,1528,Evaluating Model Performance
2020/07/30 21:55:41,3-25,1660,Evaluation Metrics for Classification
2020/07/30 21:55:41,3-26,1535,Model Evaluation Charts
